date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:10	1162/1162	---M-Z	200	added ('OK')	text/plain	etag:%22df5-5b376b7b29440-gzip%22	http://www.w3.org/robots.txt		(from https://boldgains.com.ng/)
13:52:16	3036/3036	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:52:11%20GMT	http://www.w3.org/StyleSheets/TR/base	/home/ace/websites/boldgains/www.w3.org/StyleSheets/TR/base.css	(from http://www.w3.org/2000/svg)
13:52:16	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Aug%202021%2013:52:16%20GMT	http://www.w3.org/Icons/WWW/w3c_home	/home/ace/websites/boldgains/www.w3.org/Icons/WWW/w3c_home.38.delayed	(from http://www.w3.org/2000/svg)
13:52:36	18741/18741	---MC-	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:52:32%20GMT	https://boldgains.com.ng/wp-json/wp/v2/pages/41	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/wp/v2/pages/41.json	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:52:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Aug%202021%2013:52:39%20GMT	https://boldgains.com.ng/?p=41	/home/ace/websites/boldgains/boldgains.com.ng/indexcbb6.html	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:52:54	2579/2579	---M--	200	added ('OK')	application/json	date:Sun,%2029%20Aug%202021%2013:52:40%20GMT	https://boldgains.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fboldgains.com.ng%2Fboldgains-compensation-plan%2F	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/oembed/1.0/embed4b2c.json	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:52:58	2686/2686	---M--	200	added ('OK')	text/xml	date:Sun,%2029%20Aug%202021%2013:52:57%20GMT	https://boldgains.com.ng/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fboldgains.com.ng%2Fboldgains-compensation-plan%2F&format=xml	/home/ace/websites/boldgains/boldgains.com.ng/wp-json/oembed/1.0/embed516a	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:52:58	914/914	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:52:58%20GMT	http://fonts.googleapis.com/css?family=Playfair+Display:400,400i,700,700i&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/css378c.css	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:52:59	376/376	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:52:59%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,600&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/cssb4f0.css	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:53:00	386/386	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:53:00%20GMT	http://fonts.googleapis.com/css?family=Montserrat:400,500&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/cssc3d4.css	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:53:01	696/696	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2013:53:01%20GMT	http://fonts.googleapis.com/css?family=Hind:300,500,400,600&subset=latin	/home/ace/websites/boldgains/fonts.googleapis.com/cssab33.css	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:53:03	842/842	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Oct%202020%2016:13:32%20GMT	https://s.w.org/images/core/emoji/13.0.1/svg/1f4a5.svg	/home/ace/websites/boldgains/s.w.org/images/core/emoji/13.0.1/svg/1f4a5.svg	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:53:03	563/563	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Oct%202020%2016:13:30%20GMT	https://s.w.org/images/core/emoji/13.0.1/svg/1f449.svg	/home/ace/websites/boldgains/s.w.org/images/core/emoji/13.0.1/svg/1f449.svg	(from https://boldgains.com.ng/boldgains-compensation-plan/)
13:53:05	191/191	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Oct%202020%2016:13:32%20GMT	https://s.w.org/images/core/emoji/13.0.1/svg/25fc.svg	/home/ace/websites/boldgains/s.w.org/images/core/emoji/13.0.1/svg/25fc.svg	(from https://boldgains.com.ng/boldgains-compensation-plan/)
